name,project_count,commits,pr_count
__future__,1547,28,2
allos,2772,2587,97
archiving,632,801,35
binary,1143,574,16
concurrency,1692,1289,67
crypto,724,303,13
custominterp,69,59,1
datatypes,2679,1501,42
debug,284,762,39
development,2057,1309,64
distribution,1178,1708,40
eastereggs,3,10,0
fileformats,549,349,18
filesys,3211,1101,80
frameworks,363,187,9
functional,1841,491,18
i18n,245,288,8
internet,1408,1928,108
ipc,1001,2913,105
language,446,888,27
markup,436,938,21
mm,64,392,20
modules,715,625,19
netdata,1751,1019,54
numeric,1442,1014,12
persistence,630,1118,43
python,3295,2344,89
superseded,421,847,5
text,2459,2631,32
tk,48,1389,60
unix,309,1496,39
windows,147,220,5
