name,required,category,project_count,oldest_commit,newest_commit,commit_count
__future__,False,__future__,1547,2001-02-26,2020-07-25,28
_thread,True,concurrency,80,2008-05-25,2021-02-19,119
abc,True,python,604,2007-06-14,2020-10-26,50
aifc,False,mm,2,1993-01-22,2019-06-18,82
antigravity,False,eastereggs,0,2008-10-19,2020-04-14,5
argparse,False,allos,703,2010-03-02,2020-12-23,87
array,False,datatypes,183,1993-02-19,2021-01-03,290
ast,False,language,336,2005-10-20,2021-02-26,256
asynchat,False,ipc,5,1999-01-12,2019-11-19,53
asyncio,False,ipc,298,2013-10-17,2020-12-18,864
asyncore,False,ipc,19,1999-01-12,2020-11-22,123
atexit,False,python,256,2007-03-21,2021-02-19,25
audioop,False,mm,3,1992-06-01,2020-03-19,118
base64,False,netdata,676,1995-06-14,2020-12-31,65
bdb,False,debug,7,1992-01-22,2020-02-23,87
binascii,False,netdata,321,1995-08-07,2020-03-24,137
binhex,False,netdata,0,1995-08-07,2020-11-01,48
bisect,False,datatypes,125,1992-09-02,2020-10-19,42
builtins,False,python,334,1990-12-20,2021-02-19,719
bz2,False,archiving,89,2011-04-03,2020-10-24,73
cProfile,False,debug,80,2006-02-08,2021-01-20,73
calendar,False,datatypes,202,1990-10-13,2020-06-02,67
cgi,False,internet,124,1995-01-12,2021-02-14,150
cgitb,False,internet,4,2001-08-18,2018-05-09,30
chunk,False,mm,0,1999-06-09,2017-04-05,20
cmath,False,numeric,11,1996-01-12,2020-09-10,77
cmd,False,frameworks,24,1992-01-24,2013-07-04,51
code,False,custominterp,66,1997-07-18,2020-01-15,40
codecs,True,binary,767,2000-03-10,2021-01-06,175
codeop,False,custominterp,9,1998-10-22,2021-02-13,23
collections,False,datatypes,1752,2007-04-27,2021-02-26,421
colorsys,False,mm,34,1992-09-07,2020-11-28,10
compileall,False,language,11,1994-08-29,2021-02-08,68
concurrent,False,concurrency,195,2010-09-18,2021-02-08,89
configparser,False,fileformats,303,2008-05-14,2019-03-03,79
contextlib,False,python,864,2006-02-28,2020-11-17,68
contextvars,False,concurrency,39,2018-01-22,2020-11-04,5
copy,False,datatypes,1002,1995-01-10,2020-05-28,78
copyreg,False,persistence,47,2008-05-11,2020-10-24,7
crypt,False,unix,12,2011-02-22,2020-02-17,22
csv,False,fileformats,207,2003-03-20,2020-12-15,177
ctypes,False,allos,365,2006-03-08,2021-02-28,559
curses,False,allos,45,1994-08-30,2021-02-02,305
dataclasses,False,python,64,2017-12-04,2021-02-26,51
datetime,False,datatypes,1449,2010-07-23,2021-02-03,217
dbm,False,persistence,20,2008-05-26,2020-06-17,98
decimal,False,numeric,345,2004-07-01,2021-01-06,361
difflib,False,text,147,2001-02-10,2020-04-29,91
dis,False,language,39,1990-12-26,2021-02-26,163
distutils,False,distribution,1176,1998-12-18,2021-03-04,1550
doctest,False,development,227,2001-01-16,2021-03-02,240
email,False,netdata,182,2001-09-23,2021-02-24,368
encodings,True,binary,36,2000-03-10,2021-01-08,307
ensurepip,False,distribution,1,2013-11-11,2021-01-30,66
enum,False,datatypes,509,2013-06-14,2021-03-03,101
errno,False,allos,550,1996-07-24,2020-05-07,31
faulthandler,False,debug,17,2011-03-31,2021-02-19,120
fcntl,False,unix,156,1992-08-17,2020-10-19,95
filecmp,False,filesys,43,1999-10-26,2020-11-23,42
fileinput,False,filesys,30,1997-11-21,2020-04-09,60
fnmatch,False,filesys,247,1991-01-01,2020-12-18,33
fractions,False,numeric,53,2008-02-11,2020-02-07,35
ftplib,False,internet,27,1992-11-04,2020-04-14,164
functools,False,functional,1424,2006-06-08,2020-12-30,240
gc,False,python,280,2000-06-30,2021-02-19,239
getopt,False,allos,94,1990-10-13,2015-11-02,34
getpass,False,allos,183,1998-04-09,2019-11-19,36
gettext,False,i18n,56,2000-08-25,2020-05-14,68
glob,False,filesys,518,1991-01-01,2020-10-20,43
graphlib,False,datatypes,0,2020-06-01,2020-10-12,2
grp,False,unix,48,1994-06-23,2020-11-18,61
gzip,False,archiving,234,1997-04-30,2021-02-26,128
hashlib,False,crypto,708,1992-12-14,2021-02-14,265
heapq,False,datatypes,113,2002-08-02,2020-09-27,121
hmac,False,crypto,204,2001-09-11,2020-05-27,35
html,False,markup,155,2007-12-07,2021-02-01,62
http,False,internet,265,2008-05-26,2020-12-21,378
idlelib,False,tk,4,2000-08-15,2021-02-23,838
imaplib,False,internet,8,1998-04-09,2020-06-02,152
imghdr,False,mm,18,1992-05-27,2020-06-20,24
imp,True,superseded,202,1990-10-14,2021-02-19,799
importlib,True,modules,600,2009-01-18,2021-03-04,490
inspect,False,python,883,2001-02-27,2021-01-12,327
io,True,allos,1542,2007-02-27,2021-02-22,719
ipaddress,False,internet,89,2012-05-20,2020-08-11,82
itertools,False,functional,1043,2003-02-01,2020-12-04,243
json,False,netdata,1460,2008-05-08,2021-02-01,194
keyword,False,language,80,1997-03-20,2021-02-26,32
lib2to3,False,development,26,2008-03-19,2020-12-14,180
linecache,False,filesys,65,1992-01-10,2020-11-06,40
locale,False,i18n,209,1997-11-18,2020-12-01,224
logging,False,allos,1395,2002-11-13,2020-12-16,429
lzma,False,archiving,40,2011-11-30,2020-10-24,63
mailbox,False,netdata,5,1994-04-28,2020-04-14,130
mailcap,False,netdata,0,1995-09-30,2020-04-02,22
marshal,True,persistence,49,1991-06-04,2020-12-01,243
math,False,numeric,765,1990-10-14,2021-03-03,257
